序列号,ID,Title,url,images,location,Period,Materials,Measurements,Artist,Credit Line,Type,Description,Illusion
9101,F1914.137,Bead: small annular,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1914.137,https://ids.si.edu/ids/iiif/FS-8531_13/full/full/0/default.jpg,China,1644-1911,Jade,H x W: 1.4 x 0.3 cm (9/16 x 1/8 in),,Gift of Charles Lang Freer,,,
9102,S2012.9.2636,Finial in the form of a horse's head,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2636,https://ids.si.edu/ids/iiif/FS-6141_11/full/full/0/default.jpg,China,late 11th-10th century BCE,Bronze,H x W x D (overall): 8.8 x 10.8 x 4 cm (3 7/16 x 4 1/4 x 1 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9103,FSC-B-397,Spade money,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-397,https://ids.si.edu/ids/iiif/FS-FSC-B-397_001/full/full/0/default.jpg,China,,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
9104,F1909.215,Landscape: mountains in mist,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1909.215,https://ids.si.edu/ids/iiif/FS-8383_16/full/full/0/default.jpg,China,1279-1368,Ink on paper,H x W (image): 24.8 x 92.6 cm (9 3/4 x 36 7/16 in),,Gift of Charles Lang Freer,,,
9105,S2012.9.4708,Seal,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4708,https://ids.si.edu/ids/iiif/FS-7829_66/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 3.8 x 2 x 1 cm (1 1/2 x 13/16 x 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9106,S1987.220,Morning Glories and Grasshopper,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.220,https://ids.si.edu/ids/iiif/FS-6925_01/full/full/0/default.jpg,China,1941,Ink and color on paper,H x W (image): 102.2 x 33.9 cm (40 1/4 x 13 3/8 in),Qi Baishi 齊白石 (1864-1957),Gift of Arthur M. Sackler,,,
9107,S2012.9.578,Ritual wine container (zun) withtaotieand dragons,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.578,https://ids.si.edu/ids/iiif/FS-7663_20/full/full/0/default.jpg,China,ca. 1100-1050 BCE,Bronze,H x Diam (overall): 25.8 x 20.8 cm (10 3/16 x 8 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9108,FSC-P-156,"Bowl, fragment of base with inscription ""Wang zhai""",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-156,https://ids.si.edu/ids/iiif/FS-fsc-p-156v1/full/full/0/default.jpg,"Liulichang kiln site, Chengdu, Sichuan province, China",1127-1279,"Stoneware with white slip under clear glaze on inside, unglazed outside",,,Gift of Dr. David C. Graham,,,
9109,F1909.327,Tomb figure of a standard bearer,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1909.327,https://ids.si.edu/ids/iiif/FS-7368_31/full/full/0/default.jpg,China,early 8th century,Earthenware with copper-green lead-silicate glaze,H x W: 20.5 x 5.8 cm (8 1/16 x 2 5/16 in),,Gift of Charles Lang Freer,,,
9110,S1987.228.11,Landscape,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.228.11,https://ids.si.edu/ids/iiif/FS-7282_20/full/full/0/default.jpg,China,ca. 1678,Ink on paper,H x W: 32.9 x 59.1 cm (12 15/16 x 23 1/4 in),Gong Xian (ca. 1610-1689),Gift of Arthur M. Sackler,,,
9111,FSC-R-213,Rubbing of stone relief,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-R-213,https://ids.si.edu/ids/iiif/FS-8518_09/full/full/0/default.jpg,China,,Ink on paper,,,,,,
9112,FSC-B-391,Spade money,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-391,https://ids.si.edu/ids/iiif/FS-FSC-B-391_001/full/full/0/default.jpg,China,,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
9113,S2012.9.750,Tongue amulet in the form of a cicada (hanchan),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.750,https://ids.si.edu/ids/iiif/FS-rls_2531/full/full/0/default.jpg,China,1st century BCE-1st century CE,Glass,H x W (overall): 5 x 3 cm (1 15/16 x 1 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9114,S2012.9.2934,Stone,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2934,https://ids.si.edu/ids/iiif/FS-rls_3487/full/full/0/default.jpg,China,,Stone,H x W x D (overall): 3.6 x 5 x 4.4 cm (1 7/16 x 1 15/16 x 1 3/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9115,S2012.9.1231,Ring,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1231,https://ids.si.edu/ids/iiif/FS-7648_40/full/full/0/default.jpg,China,,Jade,H x Diam (overall): 0.7 x 6 cm (1/4 x 2 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9116,F1909.197,Misty Mountains,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1909.197,https://ids.si.edu/ids/iiif/FS-7478_01/full/full/0/default.jpg,China,17th century,Ink and color on silk,H x W (image): 25.5 x 189.5 cm (10 1/16 x 74 5/8 in),Formerly attributed to Gao Kegong (1248-1310),Gift of Charles Lang Freer,,,
9117,FSC-P-753,"Rim fragment, number on piece ""west"" C4f(o)",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-753,https://ids.si.edu/ids/iiif/FS-FSC-P-753_1/full/full/0/default.jpg,China,,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
9118,F1909.244L,Bird and reeds on the bank of a stream,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1909.244L,https://ids.si.edu/ids/iiif/FS-6050_12/full/full/0/default.jpg,China,1644-1911,Ink and slight color on silk,H x W (image): 30.1 x 26.1 cm (11 7/8 x 10 1/4 in),Formerly attributed to Cui Bai (active mid- to late 11th century),Gift of Charles Lang Freer,,,
9119,S2012.9.3173,Figure of a dwarf,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3173,https://ids.si.edu/ids/iiif/FS-rls1553/full/full/0/default.jpg,China,21-220,Earthenware with traces of glaze,H x W x D (overall): 11 x 5 x 4.5 cm (4 5/16 x 1 15/16 x 1 3/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9120,F1909.250d,Riverscape with Trees and Rocks,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1909.250d,https://ids.si.edu/ids/iiif/FS-7410_17/full/full/0/default.jpg,China,1644-1911,Ink on paper,H x W (image): 36.1 x 54.4 cm (14 3/16 x 21 7/16 in),Formerly attributed to Sa Dula (1272-1340),Gift of Charles Lang Freer,,,
9121,F1929.83a-g,Bowl with landscapes,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1929.83a-g,https://ids.si.edu/ids/iiif/FS-5801_03/full/full/0/default.jpg,"Jingdezhen, Jiangxi province, China",1723-1735,Porcelain with lead-silicate enamels over colorless clear glaze,H x W: 7.5 x 15.9 cm (2 15/16 x 6 1/4 in),,Purchase — Charles Lang Freer Endowment,,,
9122,S2012.9.3804,Miniature figure of a horse,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3804,https://ids.si.edu/ids/iiif/FS-rls1796/full/full/0/default.jpg,China,1st century,Earthenware with copper-green lead glaze,H x W x D (overall): 11.4 x 19 x 3.7 cm (4 1/2 x 7 1/2 x 1 7/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9123,F1939.55,Forked blade (zhang璋),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1939.55,https://ids.si.edu/ids/iiif/FS-F1939.55_001/full/full/0/default.jpg,China,ca. 3000-1700 BCE,Jade (nephrite),H x W x D: 41 x 6.5 x 1 cm (16 1/8 x 2 9/16 x 3/8 in),,Purchase — Charles Lang Freer Endowment,,,
9124,F1917.422,"Brocade, a strip of silk",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.422,https://ids.si.edu/ids/iiif/FS-8544_34/full/full/0/default.jpg,China,19th century,Silk,H x W: 6.8 x 7.1 cm (2 11/16 x 2 13/16 in),,Gift of Charles Lang Freer,,,
9125,F1961.33a-b,"Ritual wine ewer (gong) with masks (taotie), dragons, and real animals",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1961.33a-b,https://ids.si.edu/ids/iiif/FS-F1961.33a-b_001/full/full/0/default.jpg,China,ca. 1100-1050 BCE,Bronze,H x W x D: 32.2 × 32.2 × 15.7 cm (12 11/16 × 12 11/16 × 6 3/16 in),,Gift of Eugene and Agnes E. Meyer,,,
9126,S2012.9.1194,Huang,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1194,https://ids.si.edu/ids/iiif/FS-S2012.9.1194_001/full/full/0/default.jpg,China,5th century BCE,Jade (nephrite),H x W x D (overall): 3.3 x 8.5 x 0.5 cm (1 5/16 x 3 3/8 x 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9127,S2012.9.3866,Seal,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3866,https://ids.si.edu/ids/iiif/FS-7794_11/full/full/0/default.jpg,China,early 20th century,Ceramic,H x W x D (overall): 7 x 8 x 8 cm (2 3/4 x 3 1/8 x 3 1/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9128,S2012.9.1092,Figure of a man,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1092,https://ids.si.edu/ids/iiif/FS-rls_3520/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 5.4 x 2.2 x 3.1 cm (2 1/8 x 7/8 x 1 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9129,S2012.9.4065a-b,"Box with cover, decorated with Arabic script",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4065a-b,https://ids.si.edu/ids/iiif/FS-7670_49/full/full/0/default.jpg,China,,Cloisonné enamel,H x Diam (overall): 6.9 x 9.9 cm (2 11/16 x 3 7/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9130,F1909.333a-b,Ceremonial vessel (ting) with a cover,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1909.333a-b,https://ids.si.edu/ids/iiif/FS-7652_08/full/full/0/default.jpg,China,,Bronze,H x W: 19.9 x 26.7 cm (7 13/16 x 10 1/2 in),,Gift of Charles Lang Freer,,,
9131,FSC-S-73a-n,14 Fragments -- some "worked",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-S-73a-n,https://ids.si.edu/ids/iiif/FS-FSC-S-73a-n/full/full/0/default.jpg,China,,Stone,,,,,,
9132,S2012.9.4469,Bodhisattva Avalokiteshvara as the Water Moon Guanyin,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4469,https://ids.si.edu/ids/iiif/FS-7718_10/full/full/0/default.jpg,China,1368-1644,Wood with traces of pigment,H x W x D (overall): 25 x 10.9 x 9.3 cm (9 13/16 x 4 5/16 x 3 11/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9133,F1914.99,Chisel (qui),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1914.99,https://ids.si.edu/ids/iiif/FS-7678_07/full/full/0/default.jpg,China,,Bone,H x W: 14.7 x 3.1 cm (5 13/16 x 1 1/4 in),,Gift of Charles Lang Freer,,,
9134,S1987.353,Ritual food container (Yu),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.353,https://ids.si.edu/ids/iiif/FS-7384_08/full/full/0/default.jpg,China,9th century BCE,Bronze,H x W x D: 16.5 x 24.4 x 24.4 cm (6 1/2 x 9 5/8 x 9 5/8 in),,Gift of The Arthur M. Sackler Foundation,,,
9135,S2012.9.1703a-b,Oval box with lid and dolphin handles,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1703a-b,https://ids.si.edu/ids/iiif/FS-4913_Singer1787/full/full/0/default.jpg,China or Tibet,18th century,Silver and gilt,H x W x D (overall): 7 x 14 x 8.8 cm (2 3/4 x 5 1/2 x 3 7/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9136,S2012.9.3305,Figure of a lion,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3305,https://ids.si.edu/ids/iiif/FS-8148_23/full/full/0/default.jpg,"Yaozhou, Shaanxi province, China",11th-13th century,Earthenware with traces of white slip and green lead-silicate glaze,H x W x D (overall): 9.5 x 6 x 2.5 cm (3 3/4 x 2 3/8 x 1 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9137,S1987.699,"Dagger-axe (ge戈), fragment reworked",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.699,https://ids.si.edu/ids/iiif/FS-S1987.699_001/full/full/0/default.jpg,"probably Henan province, China",ca. 2000-ca. 1400 BCE,Jade (nephrite),H x W x D: 7.7 x 30.9 x 0.8 cm (3 x 12 3/16 x 5/16 in),,Gift of Arthur M. Sackler,,,
9138,S2012.9.1452,Dish,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1452,https://ids.si.edu/ids/iiif/FS-7717_16/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 1 x 6 x 5.2 cm (3/8 x 2 3/8 x 2 1/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9139,F1911.214,Layered Peaks and Winding Dikes,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.214,https://ids.si.edu/ids/iiif/FS-7464_10/full/full/0/default.jpg,China,17th century,Ink and color on silk,H x W (image): 32.9 x 520.5 cm (12 15/16 x 204 15/16 in),Formerly attributed to Fan Kuan (傳)范寬 (ca. 960-ca. 1030),Gift of Charles Lang Freer,,,
9140,F1907.55a-b,Shiwan (Shekwan) ware vase,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1907.55a-b,https://ids.si.edu/ids/iiif/FS-7908_16/full/full/0/default.jpg,"Shiwan (Shekwan) kilns, Foshan, Guangdong province, China",18th century,Stoneware with Guan-style glaze,H x Diam: 27.4 × 18.5 cm (10 13/16 × 7 5/16 in),,Gift of Charles Lang Freer,,,
9141,S2012.9.3629,Figure of a woman,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3629,https://ids.si.edu/ids/iiif/FS-7715_04/full/full/0/default.jpg,China,7th century,Earthenware with straw glaze and traces of pigment,H x W x D (overall): 21.5 x 6 x 5.7 cm (8 7/16 x 2 3/8 x 2 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9142,FSC-P-2764,Rim fragment,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-2764,https://ids.si.edu/ids/iiif/FS-FSC-P-2764_1/full/full/0/default.jpg,China,,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
9143,F1968.30,"Seven-tier tube (cong琮) with masks, eyes rubbed away",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1968.30,https://ids.si.edu/ids/iiif/FS-F1968.30_001/full/full/0/default.jpg,"Lake Tai region, China",ca. 3300-2250 BCE,Jade (nephrite),H x W x D: 20.4 x 8.1 x 8.1 cm (8 1/16 x 3 3/16 x 3 3/16 in),,Gift of Eugene and Agnes E. Meyer,,,
9144,S2012.9.2599,Garment hook in the form of a monster,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2599,https://ids.si.edu/ids/iiif/FS-7669_33/full/full/0/default.jpg,"Probably Henan or Shaanxi province, China",4th-3rd century B.C.E,"Bronze with gilding, jade and turquoise (?) inlay",H x W x D (overall): 5 x 10 x 2.6 cm (1 15/16 x 3 15/16 x 1 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9145,S2012.9.4683,Title not assigned,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4683,https://ids.si.edu/ids/iiif/FS-7718_12/full/full/0/default.jpg,China,,Calligraphy,H x W (with frame): 30.4 x 50 cm (11 15/16 x 19 11/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9146,F1916.230a-c,Tomb jar with figures of musicians,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.230a-c,https://ids.si.edu/ids/iiif/FS-6546_03/full/full/0/default.jpg,"possibly Guangdong province, China",12th-15th century,Stoneware with iron glaze,H x Diam: 19.7 × 17.7 cm (7 3/4 × 7 in),,Gift of Charles Lang Freer,,,
9147,S1987.473,Pendant in the form of a fish,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.473,https://ids.si.edu/ids/iiif/FS-S1987.473_001/full/full/0/default.jpg,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,Jade (nephrite),H x W x D: 2.3 × 6.2 × 0.2 cm (7/8 × 2 7/16 × 1/16 in),,Gift of Arthur M. Sackler,,,
9148,FSC-R-339,"1 of rubbings of stone sculpture at Caves 2 and 3, T'ienlung-shan, Shansi province (FSC-R-329 through FSC-R-340)",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-R-339,https://ids.si.edu/ids/iiif/FS-8495_13/full/full/0/default.jpg,China,,Ink on paper,,,,,,
9149,S2012.9.2723,Animal,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2723,https://ids.si.edu/ids/iiif/FS-7674_49/full/full/0/default.jpg,China,,Stone,H x Diam (overall): 0.6 x 1.4 cm (1/4 x 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9150,F1980.8,"Daoist Scripture of Constant Purity and Tranquility, in standard script 太上老君說常清靜經",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1980.8,https://ids.si.edu/ids/iiif/FS-8031_04/full/full/0/default.jpg,China,ca. 1292,Ink on silk,H x W (image): 29 x 58 cm (11 7/16 x 22 13/16 in),Zhao Mengfu 趙孟頫 (1254-1322)Kangli Naonao (1295-1345),Purchase — Regents' Collections Acquisition Program,,,
9151,FSC-B-303,Knife money,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-303,https://ids.si.edu/ids/iiif/FS-FSC-B-303_1/full/full/0/default.jpg,China,,Bronze,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
9152,S2012.9.4417,Mountain with pagoda,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4417,https://ids.si.edu/ids/iiif/FS-3775_Singer1744/full/full/0/default.jpg,China,early 18th century,"Ivory, ink",H x W x D (overall): 27.6 x 8.7 x 7.5 cm (10 7/8 x 3 7/16 x 2 15/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9153,F1909.394,Fragment of a bowl,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1909.394,https://ids.si.edu/ids/iiif/FS-7369_20/full/full/0/default.jpg,China,14th or 18th-19th century,Stoneware with Jun or Jun-type glaze and copper pigment,H x W: 7.4 x 4.4 cm (2 15/16 x 1 3/4 in),,Gift of Charles Lang Freer,,,
9154,F1980.64,Epitaph of Fang shu tzu Kung-Chih,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1980.64,https://ids.si.edu/ids/iiif/FS-7503_34/full/full/0/default.jpg,China,inscription: 837,Ink on paper,H x W: 218.3 x 55.9 cm (85 15/16 x 22 in),,Gift of Peking University,,,
9155,FSC-B-521a-c,Fragments of Mirror,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-521a-c,https://ids.si.edu/ids/iiif/FS-8523_17/full/full/0/default.jpg,,206 BCE-220 CE,,Diam (approx.): 17.2 cm (6 3/4 in),,Gift of the John Hadley Cox Archaeological Study Collection,,,
9156,FSC-S-39,Quadrangular slab,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-S-39,https://ids.si.edu/ids/iiif/FS-8506_22/full/full/0/default.jpg,China,,Hard grey limestone,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
9157,S2012.9.2069,Tubular fitting,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2069,https://ids.si.edu/ids/iiif/FS-rls448/full/full/0/default.jpg,China,,Bronze inlaid with silver,H x Diam (overall): 11 x 3.5 cm (4 5/16 x 1 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
9158,F1916.615,Bead in the form of a lotus,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.615,https://ids.si.edu/ids/iiif/FS-7685_18/full/full/0/default.jpg,China,1644-1911,Carnelian,H x W: 2.1 x 1.7 cm (13/16 x 11/16 in),,Gift of Charles Lang Freer,,,
9159,FSC-B-23,Mirror,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-23,https://ids.si.edu/ids/iiif/FS-8503_04/full/full/0/default.jpg,China,,Bronze,Diam x D: 13.8 x 0.6 cm (5 7/16 x 1/4 in),,Purchase — Charles Lang Freer Endowment,,,
9160,F1919.152,Stopping the Zither to Watch the Waterfall,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1919.152,https://ids.si.edu/ids/iiif/FS-5372_09/full/full/0/default.jpg,China,16th century,Hanging scroll; ink and color on silk,H x W (image): 108.6 x 36.6 cm (42 3/4 x 14 7/16 in),Formerly attributed to Li Sihui (mid 7th-early 8th century),Gift of Charles Lang Freer,,,
9161,F1909.248g,Pavilion on a wooded promontory,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1909.248g,https://ids.si.edu/ids/iiif/FS-7406_10/full/full/0/default.jpg,China,1368-1644,Ink and color on silk,H x W (image): 23.9 x 29.1 cm (9 7/16 x 11 7/16 in),,Gift of Charles Lang Freer,,,
9162,F1916.165,Forked blade (zhang璋),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.165,https://ids.si.edu/ids/iiif/FS-F1916.165_001/full/full/0/default.jpg,"probably Henan province, China",ca. 2000-1600 BCE,Jade (nephrite),H x W x D: 37 x 8.2 x 0.3 cm (14 9/16 x 3 3/16 x 1/8 in),,Gift of Charles Lang Freer,,,
9163,S1991.92,"Portrait of a Qing court lady, with 20th century alteration of adding the dragon surcoat",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1991.92,https://ids.si.edu/ids/iiif/FS-8380_26/full/full/0/default.jpg,China,18th-early 20th century,Ink and colors on silk,H x W (painting): 176.6 x 102.8 cm (69 1/2 x 40 1/2 in),,Purchase — Smithsonian Collections Acquisition Program and partial gift of Richard G. Pritzlaff,,,
9164,F1980.111a,Branch of an apricot tree,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1980.111a,https://ids.si.edu/ids/iiif/FS-7444_21/full/full/0/default.jpg,China,1727,Ink on paper,H x W (image): 17.3 x 20.3 cm (6 13/16 x 8 in),Liu Qikan (18th century),"Transfer from the United States Customs Service, Department of the Treasury",,,
