序列号,ID,Title,url,images,location,Period,Materials,Measurements,Artist,Credit Line,Type,Description,Illusion
25,S2012.9.1578,Hairpin,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1578,https://ids.si.edu/ids/iiif/FS-7845_27/full/full/0/default.jpg,China,early 7th-early 10th century,Bone with turquoise inlay,H x W x D (overall): 12.5 x 1.8 x 0.7 cm (4 15/16 x 11/16 x 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
26,F1917.327,Zhangzhou ware water containers in the shape of a toad,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.327,https://ids.si.edu/ids/iiif/FS-6383_02/full/full/0/default.jpg,"Zhangzhou kilns, Fujian province, China",16th century,Porcelain with iron pigment and lead-silicate enamel glaze,H x W x D: 3.3 × 6 × 4.4 cm (1 5/16 × 2 3/8 × 1 3/4 in),,Gift of Charles Lang Freer,,,
27,F1912.97,Buddhist stele,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1912.97,https://ids.si.edu/ids/iiif/FS-6201_04/full/full/0/default.jpg,"Likely from the Longmen grottoes, Luoyang, Henan province, China",7th- 8th century,Limestone with traces of pigment,H x W x D (overall): 59.1 x 52.5 x 17 cm (23 1/4 x 20 11/16 x 6 11/16 in),,Gift of Charles Lang Freer,,,
28,FSC-B-489,Bronze mirror; modern,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-489,https://ids.si.edu/ids/iiif/FS-8504_13/full/full/0/default.jpg,China,,Bronze,Diam x D: 7.3 x 0.6 cm (2 7/8 x 1/4 in),,Gift of Dr. David Challinor,,,
29,F1919.67,Turtle-shaped ornament,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1919.67,https://ids.si.edu/ids/iiif/FS-7603_22/full/full/0/default.jpg,China,206 BCE-220 CE,Bronze with shell and gilding,H x W: 6 x 11 cm (2 3/8 x 4 5/16 in),,Gift of Charles Lang Freer,,,
30,FSC-O-40,"Oracle bone fragments, inscribed",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-O-40,https://ids.si.edu/ids/iiif/FS-FSC-O-40/full/full/0/default.jpg,"Anyang, probably Henan province, China",ca. 1250 - ca. 1050 BCE,Bone,H x W x D (each approximately): 0.3 × 1.5 × 0.8 cm (1/8 × 9/16 × 5/16 in),,Gift of the John Hadley Cox Archaeological Study Collection,,,
31,F1914.89,Garment hook (daigou),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1914.89,https://ids.si.edu/ids/iiif/FS-7523_07/full/full/0/default.jpg,China,,Bronze inlaid with turquoise and silver,H x W x D: 17.3 x 1.4 x 3 cm (6 13/16 x 9/16 x 1 3/16 in),,Gift of Charles Lang Freer,,,
32,S2012.9.42,Pendant in the form of a silkworm,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.42,https://ids.si.edu/ids/iiif/FS-7645_08/full/full/0/default.jpg,China,20th century,Jade,H x W x D (overall): 4.7 x 1.8 x 1.8 cm (1 7/8 x 11/16 x 11/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
33,F1986.3a,Poem in running script,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1986.3a,https://ids.si.edu/ids/iiif/FS-7413_32/full/full/0/default.jpg,China,ca. 1685,Ink on gold paper,H x W (image): 25.9 x 19 cm (10 3/16 x 7 1/2 in),Lao Zhibian (1639-1714),Purchase — Charles Lang Freer Endowment,,,
34,S2012.9.2350,Mirror,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2350,https://ids.si.edu/ids/iiif/FS-rls4185/full/full/0/default.jpg,China,,Bronze,H x W x D (overall): 12 x 12 x 0.3 cm (4 3/4 x 4 3/4 x 1/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
35,FSC-P-879,Tea bowl (sherd),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-879,https://ids.si.edu/ids/iiif/FS-FSC-P-879_1/full/full/0/default.jpg,"Shuiji kiln site I, Shuiji, Fujian province, China",12th-13th century,Stoneware with iron glaze,W: 8.7 cm (3 7/16 in),,Gift of Caroline Plumer,,,
36,S1987.382,Bowl stand,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.382,https://ids.si.edu/ids/iiif/FS-5561_02/full/full/0/default.jpg,China,late 14th-early 15th century,Carved marbled black and red lacquer (tixi) on wood core,H x W x D: 6.3 x 19.8 x 19.8 cm (2 1/2 x 7 13/16 x 7 13/16 in),,Gift of Arthur M. Sackler,,,
37,F1915.291,Woven cloth silk. In three breadths,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1915.291,https://ids.si.edu/ids/iiif/FS-8543_18/full/full/0/default.jpg,China,19th century,Silk,H x W: 196.5 x 144.2 cm (77 3/8 x 56 3/4 in),,Gift of Charles Lang Freer,,,
38,FSC-P-2901,Pottery: Unidentified form,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-2901,https://ids.si.edu/ids/iiif/FS-FSC-P-2901_1/full/full/0/default.jpg,China,,,,,Gift of Mrs. M. Siber,,,
39,F1916.693e,"Fragment of a vessel wall, possibly a planter",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.693e,https://ids.si.edu/ids/iiif/FS-7435_18/full/full/0/default.jpg,China,19th century,Stoneware with Jun-style glaze,H x W: 2.6 x 2 cm (1 x 13/16 in),,Gift of Charles Lang Freer,,,
40,FSC-P-1084,Vessel wall (fragment),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-1084,https://ids.si.edu/ids/iiif/FS-FSC-P-1084_1/full/full/0/default.jpg,"Longquan, Zhejiang province, China",1127-1279,Stoneware with Guan style glaze,,,Gift of C.F. Yau,,,
41,S2012.9.4926,Seal,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4926,https://ids.si.edu/ids/iiif/FS-7829_58/full/full/0/default.jpg,China,,Stone,H x W x D (overall): 7.5 x 2.5 x 2.3 cm (2 15/16 x 1 x 7/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
42,FSC-B-584,Handle of a ting(?),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-584,https://ids.si.edu/ids/iiif/FS-FSC-B-584_1/full/full/0/default.jpg,"North Gate of Changsha Tomb, China",,,H x W (overall): 5.5 x 3.2 cm (2 3/16 x 1 1/4 in),,Gift of the John Hadley Cox Archaeological Study Collection,,,
43,FSC-P-736,"Rim fragment, number on piece ""west"" D4c #8",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-736,https://ids.si.edu/ids/iiif/FS-FSC-P-736_1/full/full/0/default.jpg,China,,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
44,S2012.9.4691,Square seal (yin) with a frog,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4691,https://ids.si.edu/ids/iiif/FS-8175_28/full/full/0/default.jpg,China,206 BCE-220 ACE,White glass,H x W x D (overall): 2.1 x 3.1 x 3.1 cm (13/16 x 1 1/4 x 1 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
45,F1911.454,Bracelet,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.454,https://ids.si.edu/ids/iiif/FS-7522_16/full/full/0/default.jpg,China,1644-1911,Jade,Diam x D: 8.3 x 1.3 cm (3 1/4 x 1/2 in),,Gift of Charles Lang Freer,,,
46,F1939.23,Pendant in the form of an archer’s thumbring with raised linked curls,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1939.23,https://ids.si.edu/ids/iiif/FS-F1939.23_001/full/full/0/default.jpg,China,471-221 BCE,Jade (nephrite),H x W x D: 4.5 × 3.4 × 0.9 cm (1 3/4 × 1 5/16 × 3/8 in),,Purchase — Charles Lang Freer Endowment,,,
47,FSC-B-230,Funerary replica (mingqi) of a bell,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-230,https://ids.si.edu/ids/iiif/FS-FSC-B-230_001/full/full/0/default.jpg,China,206 BCE-9 CE,Bronze,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
48,F1916.538,Clearing Autumn Skies over Mountains and Valleys 谿山秋霽圖,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.538,https://ids.si.edu/ids/iiif/FS-8139_05/full/full/0/default.jpg,China,mid-11th to early 12th century,Ink and color on silk,H x W (painting): 25.9 × 205.6 cm (10 3/16 × 80 15/16 in),Traditionally attributed to Guo Xi (傳)郭熙 (ca. 1001-1090),Gift of Charles Lang Freer,,,
