title,type,date,credit_line,accession_number,image_download_url
Pendant in the form of an archer’s thumbring with bird and incised linked curls,Jewelry and Ornament,475-221 BCE,Gift of Arthur M. Sackler,S1987.562,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.562_001
Pendant in the form of a stag,Jewelry and Ornament,ca. 1050-ca. 850 BCE,Gift of Arthur M. Sackler,S1987.564,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.564_001
Ancestor tablet with dragon,Ceremonial Object,ca. 1050-ca. 950 BCE,Gift of Arthur M. Sackler,S1987.565,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.565_001
"Pendant in the form of a bird, reworked",Jewelry and Ornament,ca. 1300-1050 BCE,Gift of Arthur M. Sackler,S1987.575,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.575_001
Pendant in the form of a water bird,Jewelry and Ornament,ca. 1300-1050 BCE,Gift of Arthur M. Sackler,S1987.580,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.580_001
"Earring with incised dragon elements, one of a pair",Jewelry and Ornament,ca. 600-476 BCE,Gift of Arthur M. Sackler,S1987.581,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.581_001
"Earring with incised dragon elements, one of a pair",Jewelry and Ornament,ca. 600-476 BCE,Gift of Arthur M. Sackler,S1987.582,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.582_001
Pendant in the form of a coiled dragon,Jewelry and Ornament,ca. 1300-ca. 1050 BCE,Gift of Arthur M. Sackler,S1987.597,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.597_001
"Pendant in the form of a mask, reworked",Jewelry and Ornament,ca. 13th-11th century BCE,Gift of Arthur M. Sackler,S1987.618,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.618_001
Tubular head ornament,Jewelry and Ornament,20th century,Gift of Arthur M. Sackler,S1987.626,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.626_001
Ring with raised uniform curls arranged in a grid,Ceremonial Object,475-221 BCE,Gift of Arthur M. Sackler,S1987.627,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.627_001
Pendant in the form of a disk with dragons and bird,Jewelry and Ornament,ca. 950-ca. 850 BCE,Gift of Arthur M. Sackler,S1987.628,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.628_001
Finial in the form of a bird,Jewelry and Ornament,ca. 1250-1050 BCE,Gift of Arthur M. Sackler,S1987.637,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.637_001
Pendant in the form of a turtle,Jewelry and Ornament,ca. 1250-ca. 1050 BCE,Gift of Arthur M. Sackler,S1987.638,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.638_001
Ornament with mask,Jewelry and Ornament,ca. 600-476 BCE,Gift of Arthur M. Sackler,S1987.639,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.639_001
Pendant in the form of a dragon with incised irregular curls,Jewelry and Ornament,475-221 BCE,Gift of Arthur M. Sackler,S1987.644,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.644_001
Cup with handles and raised linked curls,Vessel,475-221 BCE,Gift of Arthur M. Sackler,S1987.645,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.645_001
Ritual wine container (zun) with masks (taotie) and dragons,Vessel,ca. 1100-1050 BCE,Gift of Arthur M. Sackler,S1987.66,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.66_001
Ancestor tablet with bird and human hybrid,Ceremonial Object,ca. 1050-ca. 950 BCE,Gift of Arthur M. Sackler,S1987.665,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.665_001
Pendant with raised uniform curls arranged in a grid and inscription,Jewelry and Ornament,475-221 BCE,Gift of Arthur M. Sackler,S1987.666,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.666_001
Finial in the form of a bird,Jewelry and Ornament,ca. 1300-1050 BCE,Gift of Arthur M. Sackler,S1987.667,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.667_001
"Pendant in the form of a dragon with raised dragon elements, fragment",Jewelry and Ornament,475-400 BCE,Gift of Arthur M. Sackler,S1987.668,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.668_001
Finial in the form of a bird,Jewelry and Ornament,20th century,Gift of Arthur M. Sackler,S1987.669,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.669_001
Pendant with raised linked curls,Jewelry and Ornament,475-221 BCE,Gift of Arthur M. Sackler,S1987.670,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.670_001
Pendant with dragon heads and raised uniform curls,Jewelry and Ornament,475-221 BCE,Gift of Arthur M. Sackler,S1987.675,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.675_001
Sword scabbard slide with two dragons,Weapon and Armament,206 BCE-220 CE,Gift of Arthur M. Sackler,S1987.685,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.685_001
"Oblong pendant with incised linked curls, one of a pair",Jewelry and Ornament,475-221 BCE,Gift of Arthur M. Sackler,S1987.686,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.686_001
Pendant in the form of a bat,Jewelry and Ornament,ca. 1300-1050 BCE,Gift of Arthur M. Sackler,S1987.689,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.689_001
"Ornament with mask, reworked from a tube (cong)?",Jewelry and Ornament,ca. 600-476 BCE,Gift of Arthur M. Sackler,S1987.690,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.690_001
Pendant in the form of a quadruped,Jewelry and Ornament,ca. 1100-ca. 1000 BCE,Gift of Arthur M. Sackler,S1987.695,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.695_001
Sword and guard with dragon,Weapon and Armament,206 BCE-220 CE,Gift of Arthur M. Sackler,S1987.697,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.697_001
Pendant in the form of a female dancer,Jewelry and Ornament,20th century,Gift of Arthur M. Sackler,S1987.708,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.708_001
Pendant in the form of an archer’s ring with raised uniform curls,Jewelry and Ornament,206 BCE-9 CE,Gift of Arthur M. Sackler,S1987.718,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.718_001
"Pendant in the form of a dragon, one of a pair",Jewelry and Ornament,475-221 BCE,Gift of Arthur M. Sackler,S1987.866,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.866_001
Oblong pendant with dragons and incised linked curls,Jewelry and Ornament,475-221 BCE,Gift of Arthur M. Sackler,S1987.897,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.897_001
Dagger-axe (ge戈),Ceremonial Object,ca. 1300-ca. 1050 BCE,Gift of Arthur M. Sackler,S1987.898,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.898_001
Disk (bi),Ceremonial Object,18th century,Gift of Arthur M. Sackler,S1987.922,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7420_01
Disk (bi) with raised hexagons arranged in a grid and masks,Ceremonial Object,206 BCE-9 CE,Gift of Arthur M. Sackler,S1987.923,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1987.923_001
Throne cover,Costume and Textile,19th century,Gift of Karl B. Mann,S1992.35,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1992.35_001
Pair of lamps of fortune (dipalakshmi) oil lamps,Sculpture,17th century,Purchase — Smithsonian Unrestricted Trust Funds,S2000.9.1-2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2000.9.1-2_001
Pendant in the form of a dragon,Jewelry and Ornament,ca. 1050-950 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.1044,https://ids.si.edu/ids/deliveryService?max=170&id=FS-RLS1997.48.3599_001
Rectangular plano-convex plaque,Jewelry and Ornament,late 7th-early 6th century BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.1129,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5845_08
Sword guard,Weapon and Armament,206 BCE-9 CE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.1133,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2012.9.1133_001
Pendant in the form of a bird,Jewelry and Ornament,ca. 1050-950 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.1258,https://ids.si.edu/ids/deliveryService?max=170&id=FS-RLS1997.48.3622_001-000001
Finial in the form of a bird,Jewelry and Ornament,ca. 1050-ca. 771 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.1261,https://ids.si.edu/ids/deliveryService?max=170&id=FS-RLS1997.48.3668_001
Vessel,Vessel,3rd-2nd century BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.1458,https://ids.si.edu/ids/deliveryService?max=170&id=FS-rls_0588
"Pendant with mask, fragment",Jewelry and Ornament,475-221 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.1474,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2012.9.1474_001
Wine cup (erbei) with an animal and stylized clouds,Vessel,3rd century BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.1587,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8127_01
Ear cup,Vessel,2nd century BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.1591,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7846_18
Pestle with handle in form of a monkey,Sculpture,ca. 1250-ca. 1050 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.241,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2012.9.241_001
Dagger-axe (ge戈),Ceremonial Object,ca. 1300-ca. 1050 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.278,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2012.9.278_001
Pendant in the form of a fish with an ear cleaner,Jewelry and Ornament,ca. 1250-ca. 1050 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.302,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2012.9.302_001
Plaque with taotie,Jewelry and Ornament,ca. 1300-1050 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.307,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7649_38
Knife with handle in the form of a bird,Weapon and Armament,ca. 1100-900 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.324,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7645_45
Pendant in the form of a buffalo head,Jewelry and Ornament,ca. 1300-ca. 1050 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.328,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2012.9.328_001
Pendant in the form of a bird in flight,Jewelry and Ornament,ca. 1100-950 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.366,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7645_37
Beads and gold chain,Jewelry and Ornament,475-221 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.4668,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2012.9.4668_001
Bead,Jewelry and Ornament,4th-1st century BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.724,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7843_17
Open cylinder,Jewelry and Ornament,7th century BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.891,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5724_09
Button in the form of a flower,Costume and Textile,475-221 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.892,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2012.9.892_001
Pendant in the form of a vase,Jewelry and Ornament,475-221 BCE,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",S2012.9.902,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2012.9.902_001
Pancham Ragini from a Ragamala set,Painting,ca. 1640,Purchase — Charles Lang Freer Endowment,F1923.7,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5838_10
Malashri Ragini from a Ragmala series,Painting,1640,Purchase — Charles Lang Freer Endowment,F1924.7,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8077_08
Long Lagoon,Print,1879-1880,Gift of Charles Lang Freer,F1887.10,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6202_01
The Temple,Print,ca. 1880-1881,Gift of Charles Lang Freer,F1887.11,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6202_02
"The Bridge, Santa Marta",Print,1879-1880,Gift of Charles Lang Freer,F1887.12,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6202_03
Upright Venice,Print,1879-1880,Gift of Charles Lang Freer,F1887.13,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6202_04
Little Court,Print,ca. 1880-1881,Gift of Charles Lang Freer,F1887.14,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1887.14_001
Lobster Pots- Selsea Bill,Print,ca. 1880-1881,Gift of Charles Lang Freer,F1887.15,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6202_06
"The Riva, No. 2",Print,1879-1880,Gift of Charles Lang Freer,F1887.16,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6202_07
Drury Lane,Print,ca. 1880-1881,Gift of Charles Lang Freer,F1887.17,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1887.17_001
The Balcony,Print,1879-1880,Gift of Charles Lang Freer,F1887.18,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8078_01
The Fishing Boat,Print,1879-1880,Gift of Charles Lang Freer,F1887.19,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6202_09
Doorway and Vine,Print,1879-1880,Gift of Charles Lang Freer,F1887.2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6202_10
The Garden,Print,1879-1880,Gift of Charles Lang Freer,F1887.21,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6203_01
The Rialto,Print,1879-1880,Gift of Charles Lang Freer,F1887.22,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1887.22_001
Long Venice,Print,1879-1880,Gift of Charles Lang Freer,F1887.23,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6203_03
Nocturne: Furnace,Print,1879-1880,Gift of Charles Lang Freer,F1887.24,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6203_04
Quiet Canal,Print,1879-1880,Gift of Charles Lang Freer,F1887.25,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6203_05
Salute Dawn,Print,1879-1880,Gift of Charles Lang Freer,F1887.26,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8078_02
Lagoon-Noon,Print,1879-1880,Gift of Charles Lang Freer,F1887.27,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5187_03
Wheelwright,Print,1879-1880,Gift of Charles Lang Freer,F1887.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1887.3_001
San Biagio,Print,1879-1880,Gift of Charles Lang Freer,F1887.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6203_07
Bead Stringers,Print,1879-1880,Gift of Charles Lang Freer,F1887.5,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6203_08
Turkeys,Print,1879-1880,Gift of Charles Lang Freer,F1887.6,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6203_09-000001
Fruit Stall,Print,1879-1880,Gift of Charles Lang Freer,F1887.7,https://ids.si.edu/ids/deliveryService?max=170&id=FS-F1887.7_001
San Giorgio,Print,1879-1880,Gift of Charles Lang Freer,F1887.8,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6203_11
Nocturne: Palaces,Print,1879-1880,Gift of Charles Lang Freer,F1887.9,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6204_01
"Clothes-Exchange, Houndsditch, No.1",Print,ca. 1886-1888,Gift of Charles Lang Freer,F1889.1,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5199_01
August Delâtre,Print,1858,Gift of Charles Lang Freer,F1893.34,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5323_01
Greenwich Pensioner,Print,1859,Gift of Charles Lang Freer,F1893.35,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5323_02
Stevens' Boat Life,Print,1859,Gift of Charles Lang Freer,F1893.36,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5323_03
Arthur Haden,Print,1859,Gift of Charles Lang Freer,F1893.37,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5323_04
"Z. Astruc, Editor of 'L' Artiste'",Print,1859,Gift of Charles Lang Freer,F1893.38,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5323_05
Whistler with a hat,Print,1859,Gift of Charles Lang Freer,F1893.39,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5323_06
Drouet,Print,1859,Gift of Charles Lang Freer,F1893.40,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5323_07
Finette,Print,1859,Gift of Charles Lang Freer,F1893.41,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5323_08
Potrait of a man,Print,1860,Gift of Charles Lang Freer,F1893.42,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5323_09
Axenfeld,Print,1860,Gift of Charles Lang Freer,F1893.43,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5323_10
Riault (The Wood Engraver),Print,1860,Gift of Charles Lang Freer,F1893.44,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5324_01
Jo,Print,1861,Gift of Charles Lang Freer,F1893.45,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5324_02
The Camp,Print,1861,Gift of Charles Lang Freer,F1893.46,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5324_03
The Storm,Print,1861,Gift of Charles Lang Freer,F1893.47,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5324_04
Shipping at Liverpool,Print,1867,Gift of Charles Lang Freer,F1893.48,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5324_05
Draped Model,Print,1870,Gift of Charles Lang Freer,F1893.49,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5324_06
The Little Velvet Dress,Print,1873,Gift of Charles Lang Freer,F1893.50,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5324_07
F. R. Leyland,Print,ca. 1870-1873,Gift of Charles Lang Freer,F1893.51,https://ids.si.edu/ids/deliveryService?max=170&id=FS-8533_06
Elinor Leyland,Print,1873,Gift of Charles Lang Freer,F1893.52,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5324_09
Florence Leyland,Print,ca. 1873,Gift of Charles Lang Freer,F1893.53,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5324_10
Reading a Book,Print,ca. 1873,Gift of Charles Lang Freer,F1893.54,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5322_01
"The Beach, Hastings",Print,1873,Gift of Charles Lang Freer,F1893.55,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5322_02
Agnes,Print,ca. 1873-1875,Gift of Charles Lang Freer,F1893.56,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5322_03
Swinburne,Print,ca. 1871-1877,Gift of Charles Lang Freer,F1893.57,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5322_04
The Piano,Print,ca. 1875,Gift of Charles Lang Freer,F1893.58,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5322_05
The Scotch Widow,Print,1875,Gift of Charles Lang Freer,F1893.59,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5322_06
Speke Shore,Print,ca. 1875,Gift of Charles Lang Freer,F1893.60,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5322_07
"Shipbuilder's Yard, Liverpool",Print,1875,Gift of Charles Lang Freer,F1893.61,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5322_08
London Bridge,Print,ca. 1875,Gift of Charles Lang Freer,F1893.62,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5322_09
A Sketch of Shipping,Print,ca. 1859-1901,Gift of Charles Lang Freer,F1893.63,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5322_10
Battersea: Early Morning,Print,ca. 1875,Gift of Charles Lang Freer,F1893.64,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5321_01
From Billingsgate,Print,1878,Gift of Charles Lang Freer,F1893.65,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5321_02
Greenhithe,Print,ca. 1877,Gift of Charles Lang Freer,F1893.66,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5321_03
Lindsey Houses,Print,ca. 1878,Gift of Charles Lang Freer,F1893.67,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5321_04
Pickle Herring Wharf,Print,ca. 1878,Gift of Charles Lang Freer,F1893.68,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5321_05
"Irving as Philip of Spain, No.2",Print,ca. 1876-1877,Gift of Charles Lang Freer,F1893.69,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5321_06
"Steamboat Fleet, Chelsea",Print,ca. 1875,Gift of Charles Lang Freer,F1893.70,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5321_07
Brushing the Hair,Print,1863,Gift of Charles Lang Freer,F1893.71,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5321_08
Battersea Reach,Print,1863,Gift of Charles Lang Freer,F1893.72,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5321_09
Landscape with a Fisherman,Print,1861,Gift of Charles Lang Freer,F1893.73,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5321_10
Fumette's Bent Head,Print,1859,Gift of Charles Lang Freer,F1893.74,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5320_01
Lady in an armchair,Print,1861,Gift of Charles Lang Freer,F1893.75,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5320_02
Whistler's Mother,Print,ca. 1870-1873,Gift of Charles Lang Freer,F1893.76,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5320_03
The Silk Dress,Print,ca. 1873,Gift of Charles Lang Freer,F1893.77,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5320_04
Nude Posing,Print,ca. 1873-1875,Gift of Charles Lang Freer,F1893.78,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5320_05
Portrait Sketches including F.R. Leyland and Whistler,Print,ca. 1870-1873,Gift of Charles Lang Freer,F1893.79,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5320_06
Under Old Battersea Bridge,Print,1879,Gift of Charles Lang Freer,F1893.80,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5320_07
Girl Standing,Print,ca. 1873-1875,Gift of Charles Lang Freer,F1893.81,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5320_08
Girl Lying Down,Print,ca. 1873-1875,Gift of Charles Lang Freer,F1893.82,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5320_09
Sketches of Heads,Print,ca. 1873,Gift of Charles Lang Freer,F1893.83,https://ids.si.edu/ids/deliveryService?max=170&id=FS-5320_10
A Man Reading,Print,ca. 1873-1875,Gift of Charles Lang Freer,F1893.84,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6562_01
A Lady at a Window,Print,ca. 1873-1875,Gift of Charles Lang Freer,F1893.85,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6562_02
Whistler with the White Lock,Print,1879,Gift of Charles Lang Freer,F1893.86,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6562_03
"Nude Woman Standing, hand on hip",Print,ca. 1873-1875,Gift of Charles Lang Freer,F1893.87,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6562_04
Nude Girl with Arms Raised,Print,ca. 1873-1875,Gift of Charles Lang Freer,F1893.88,https://ids.si.edu/ids/deliveryService?max=170&id=FS-6562_05
